"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         119,      -6.114929556,      -3.314556056,       -3.78325615,     -0.5378351939,      -3.378461341,       1.136042825
          0,           0,         120,      -6.122328966,      -3.322488348,      -3.792537543,     -0.5451071962,      -3.379659211,       1.125160037
          0,           0,         121,      -6.129642876,      -3.330393972,      -3.801821849,     -0.5523022024,       -3.38128391,       1.114458408
          0,           0,         122,      -6.136880822,      -3.338282806,      -3.811102874,     -0.5594286155,      -3.383417318,       1.103572082
          0,           0,         123,      -6.144041149,      -3.346159456,      -3.820379815,      -0.566484942,      -3.386570413,       1.092325045
          0,           0,         124,      -6.151133752,      -3.354031948,      -3.829656738,     -0.5734804604,      -3.390598875,       1.080670284
          0,           0,         125,      -6.158164338,      -3.361904314,      -3.838932084,     -0.5804203527,      -3.395322362,       1.068650197
          0,           0,         126,      -6.165145166,      -3.369780356,        -3.8482049,     -0.5873161063,      -3.400592692,       1.056327733
          0,           0,         127,      -6.172085815,      -3.377664036,      -3.857468791,     -0.5941770829,      -3.406280336,       1.043778427
          0,           0,         128,      -6.179001108,      -3.385496901,      -3.866468497,     -0.6010185259,      -3.421260688,       1.034214324
          0,           0,         129,       -6.18589448,       -3.39334896,      -3.875891651,     -0.6078462288,      -3.427716934,       1.025428741
          0,           0,         130,        -6.1928166,      -3.401251888,      -3.885216635,     -0.6147144366,      -3.436427474,       1.017060767
          0,           0,         131,      -6.199725683,      -3.409213597,       -3.89442803,     -0.6215648249,      -3.443298154,       1.008498006
          0,           0,         132,      -6.206679824,      -3.417217739,      -3.903705567,     -0.6284583397,      -3.450692744,      0.9986127895
          0,           0,         133,      -6.213642082,      -3.425245799,       -3.91291788,     -0.6353659251,      -3.458553678,      0.9873193886
          0,           0,         134,      -6.220668127,      -3.433317087,      -3.922171391,     -0.6423400014,      -3.467138915,      0.9746587973
          0,           0,         135,      -6.227748601,      -3.441426282,       -3.93142249,      -0.649371699,      -3.476249935,      0.9608676469
          0,           0,         136,       -6.23490964,      -3.449578811,      -3.940701487,     -0.6564865597,      -3.485619339,      0.9462509981
          0,           0,         137,      -6.242142766,      -3.457775362,      -3.949964815,     -0.6636766497,      -3.495074833,      0.9311056064
          0,           0,         138,      -6.249461084,      -3.466017576,      -3.959240045,     -0.6709547446,      -3.503891874,      0.9157014057
          0,           0,         139,      -6.256859443,      -3.474300894,      -3.968522358,     -0.6783155653,      -3.511290867,      0.9002556161
          0,           0,         140,      -6.264346879,      -3.482622865,      -3.977826875,     -0.6857674911,      -3.516427959,      0.8849267128
          0,           0,         141,      -6.271919725,      -3.490977361,      -3.987125764,     -0.6933062059,      -3.521229589,      0.8698164816
          0,           0,         142,      -6.279577234,      -3.499365466,      -3.996435135,     -0.7009313568,      -3.526109534,      0.8549357943
          0,           0,         143,      -6.287317423,      -3.507789692,      -4.005767959,     -0.7086404878,      -3.531476157,      0.8403110323
          0,           0,         144,      -6.295140476,      -3.516254546,      -4.015139617,      -0.716433702,      -3.537478859,      0.8259442565
          0,           0,         145,      -6.303043245,       -3.52476281,       -4.02456652,     -0.7243076967,      -3.543893973,       0.811812345
          0,           0,         146,      -6.311023126,      -3.533319032,      -4.034042995,      -0.732259623,      -3.550672605,      0.7978657615
          0,           0,         147,      -6.319074451,      -3.541926573,      -4.043558866,     -0.7402846367,      -3.558028346,      0.7840467413
          0,           0,         148,      -6.327192386,      -3.550586438,      -4.053126609,     -0.7483783611,      -3.566001259,      0.7703170818
          0,           0,         149,      -6.335370783,       -3.55929784,      -4.062758727,      -0.756534269,      -3.574570254,       0.756656087
          0,           0,         150,      -6.343605682,       -3.56806083,       -4.07246575,     -0.7647478737,      -3.583634021,      0.7430397736
          0,           0,         151,      -6.351892915,      -3.576877946,      -4.082237737,     -0.7730149727,      -3.593042002,      0.7294424278
          0,           0,         152,      -6.360226419,      -3.585748957,      -4.092061329,      -0.781330084,      -3.601997742,      0.7158475032
          0,           0,         153,      -6.368601262,       -3.59466866,      -4.101939681,     -0.7896884229,      -3.611168153,      0.7022443607
          0,           0,         154,      -6.377011578,      -3.603633085,      -4.111877648,     -0.7980839306,      -3.620510564,      0.6886160252
          0,           0,         155,      -6.385454735,      -3.612639094,      -4.121892288,     -0.8065129541,      -3.629437316,      0.6749816877
          0,           0,         156,       -6.39392813,      -3.621686218,      -4.131949249,     -0.8149723878,       -3.63820741,      0.6613381766
          0,           0,         157,      -6.402427836,      -3.630771754,      -4.142054651,     -0.8234589183,      -3.646745741,      0.6476480918
          0,           0,         158,      -6.410951898,      -3.639894663,       -4.15220814,     -0.8319710105,      -3.655876492,      0.6339029084
          0,           0,         159,      -6.419499378,      -3.649057242,         -4.162418,     -0.8405073293,      -3.665439708,       0.620117072
          0,           0,         160,       -6.42807112,      -3.658261369,      -4.172696812,     -0.8490684149,      -3.675363575,      0.6063175897
          0,           0,         161,      -6.436669306,      -3.667511237,      -4.183038901,     -0.8576567057,      -3.684491979,      0.5925265333
          0,           0,         162,      -6.445294638,      -3.676800196,      -4.193417489,     -0.8662725133,      -3.693664103,      0.5787336104
          0,           0,         163,        -6.4539473,      -3.686128012,      -4.203826933,     -0.8749171053,       -3.70292655,      0.5648917925
          0,           0,         164,      -6.462625736,      -3.695490856,      -4.214274922,     -0.8835878512,      -3.712242419,      0.5510326038
          0,           0,         165,      -6.471334137,      -3.704891095,      -4.224761736,     -0.8922886488,      -3.721182478,      0.5371661508
          0,           0,         166,      -6.480075152,      -3.714329752,      -4.235271691,     -0.9010223318,      -3.730604473,      0.5233092178
          0,           0,         167,       -6.48885037,      -3.723805876,      -4.245828015,     -0.9097905914,      -3.740155741,       0.509445365
          0,           0,         168,       -6.49766465,      -3.733321994,      -4.256416204,     -0.9185980961,      -3.749977997,      0.4955628316
          0,           0,         169,      -6.506519918,        -3.7428814,      -4.267029026,     -0.9274474528,      -3.759978419,       0.481676405
          0,           0,         170,      -6.515417565,      -3.752482325,      -4.277673624,     -0.9363395124,      -3.770116137,      0.4678024788
          0,           0,         171,      -6.524360239,      -3.762126026,      -4.288346957,     -0.9452768695,      -3.780304136,      0.4539491586
          0,           0,         172,       -6.53335076,      -3.771812862,      -4.299050932,     -0.9542627119,      -3.789859611,      0.4401503385
          0,           0,         173,      -6.542391431,      -3.781537902,      -4.309754964,     -0.9632985777,       -3.79942241,      0.4264057971
          0,           0,         174,      -6.551481052,      -3.791298428,      -4.320476456,     -0.9723834488,      -3.809287886,      0.4126743258
          0,           0,         175,      -6.560621699,      -3.801097306,      -4.331226208,     -0.9815199552,      -3.819476653,      0.3989675172
          0,           0,         176,      -6.569815841,      -3.810938099,      -4.342007327,     -0.9907102491,      -3.829925212,      0.3853139035
          0,           0,         177,       -6.57906457,      -3.820823532,      -4.352826575,     -0.9999554728,      -3.840499617,      0.3717354558
          0,           0,         178,       -6.58836821,      -3.830754654,      -4.363682492,      -1.009256293,      -3.850994594,      0.3582538304
          0,           0,         179,      -6.597727719,      -3.840729772,      -4.374576616,      -1.018613701,      -3.861130003,      0.3448855146
          0,           0,         180,      -6.607141756,      -3.850743955,      -4.385474539,      -1.028025526,      -3.869755294,      0.3316180525
          0,           0,         181,      -6.616608738,       -3.86078664,      -4.396357144,      -1.037490063,      -3.878979432,      0.3184474805
          0,           0,         182,      -6.626124291,      -3.870857141,      -4.407271459,      -1.047003342,      -3.888732667,      0.3052945775
          0,           0,         183,      -6.635689885,      -3.880963472,      -4.418236757,      -1.056566723,      -3.899175979,      0.2922129284
          0,           0,         184,       -6.64530641,      -3.891117934,      -4.429255504,      -1.066181647,      -3.909434159,      0.2792415563
          0,           0,         185,      -6.654975438,      -3.901320692,      -4.440318352,      -1.075849462,      -3.919901617,      0.2663815055
          0,           0,         186,      -6.664692693,       -3.91157062,      -4.451422789,       -1.08556641,      -3.930890156,      0.2536137405
          0,           0,         187,      -6.674456751,      -3.921868287,       -4.46257261,      -1.095330512,      -3.942251475,      0.2409169698
          0,           0,         188,      -6.684266649,      -3.932218103,      -4.473764342,      -1.105141603,        -3.9538892,      0.2283000693
          0,           0,         189,      -6.694122701,      -3.942619967,      -4.484998414,      -1.114999953,      -3.965476764,      0.2157677784
          0,           0,         190,      -6.704023753,      -3.953068432,      -4.496276228,      -1.124904126,      -3.976337319,      0.2033536333
          0,           0,         191,      -6.713968209,      -3.963555127,      -4.507592532,      -1.134852354,      -3.985626891,      0.1911226579
          0,           0,         192,      -6.723953945,      -3.974070738,      -4.518900036,      -1.144841964,      -3.994723903,      0.1790511665
